session_id,saved_at,hive,requested_timestamp,camera,image_path,image_width_px,image_height_px,zone_x0,zone_y0,zone_x1,zone_y1,zone_area_px,image_area_px,area_ratio_suggestion,bee_count,multiplication_factor,estimated_total_bees
6ee6879db992,2026-07-23T13:30:42.403424+00:00,2,2024-10-16T04:20:00+00:00,h2r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.09-24.10_observation_OH/Images/h2r4_1minute/hive2_rpi4_241016-042001Z.jpg,4608,2592,-9.75145746879275,-9.906293577056658,1803.5729154416083,1186.7832781707298,2169986.3672579713,11943936.0,5.504152551470885,114,5.0,570.0
b301301d200d,2026-07-23T14:14:26.115053+00:00,2,2024-11-21T16:40:00+00:00,h2r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r1_1minute/hive2_rpi1_241121-164002Z.jpg,4608,2592,91.27910317367014,4.899909275717619,1258.356269215907,2469.6972077082037,2876608.6459231474,11943936.0,4.152089307291576,167,4.0,668.0
b301301d200d,2026-07-23T14:14:26.115053+00:00,2,2024-11-21T16:40:00+00:00,h2r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r2_1minute/hive2_rpi2_241121-170003Z.jpg,4608,2592,,,,,,,,0,1.0,0.0
b301301d200d,2026-07-23T14:14:26.115053+00:00,2,2024-11-21T16:40:00+00:00,h2r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r3_1minute/hive2_rpi3_241121-164003Z.jpg,4608,2592,-13.23526990473988,-16.00296533996425,1162.5514272273647,2596.8563616202687,3072165.238117386,11943936.0,3.8877908817558295,136,4.0,544.0
b301301d200d,2026-07-23T14:14:26.115053+00:00,2,2024-11-21T16:40:00+00:00,h2r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r4_1minute/hive2_rpi4_241121-170003Z.jpg,4608,2592,,,,,,,,0,1.0,0.0
af71ad8af07f,2026-07-23T14:45:32.392738+00:00,1,2024-12-12T03:40:00+00:00,h1r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r1_1minute/hive1_rpi1_241212-034001Z.jpg,4608,2592,2429.7882008030783,1975.8667949127203,4608.0419263789245,2587.2758774214144,1331804.111825473,11943936.0,8.968237816617584,141,5.0,705.0
af71ad8af07f,2026-07-23T14:45:32.392738+00:00,1,2024-12-12T03:40:00+00:00,h1r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r2_1minute/hive1_rpi2_241212-034001Z.jpg,4608,2592,,,,,,,,90,1.0,90.0
af71ad8af07f,2026-07-23T14:45:32.392738+00:00,1,2024-12-12T03:40:00+00:00,h1r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r3_1minute/hive1_rpi3_241212-034001Z.jpg,4608,2592,-11.49336368676586,-11.64819979503045,4597.590489071083,1404.5215554174158,6527245.151513722,11943936.0,1.8298586498210663,195,2.0,390.0
af71ad8af07f,2026-07-23T14:45:32.392738+00:00,1,2024-12-12T03:40:00+00:00,h1r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r4_1minute/hive1_rpi4_241212-034001Z.jpg,4608,2592,,,,,,,,6,1.0,6.0
eec0a71ac8da,2026-07-23T15:02:59.512137+00:00,1,2024-12-02T05:00:00+00:00,h1r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r1_1minute/hive1_rpi1_241202-050001Z.jpg,4608,2592,3075.687026427648,-3.809621814149523,4614.138598141832,1459.3916012835807,2251064.221408819,11943936.0,5.305906373708405,141,4.0,564.0
eec0a71ac8da,2026-07-23T15:02:59.512137+00:00,1,2024-12-02T05:00:00+00:00,h1r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r2_1minute/hive1_rpi2_241202-050001Z.jpg,4608,2592,,,,,,,,17,1.0,17.0
eec0a71ac8da,2026-07-23T15:02:59.512137+00:00,1,2024-12-02T05:00:00+00:00,h1r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r3_1minute/hive1_rpi3_241202-050001Z.jpg,4608,2592,-0.17097326993803108,-23.841543320845176,801.1058869978654,2589.0177836393877,2093623.7178281413,11943936.0,5.70491053301128,158,5.0,790.0
eec0a71ac8da,2026-07-23T15:02:59.512137+00:00,1,2024-12-02T05:00:00+00:00,h1r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r4_1minute/hive1_rpi4_241202-050001Z.jpg,4608,2592,,,,,,,,5,1.0,5.0
b4214145a9c5,2026-07-23T15:27:33.277118+00:00,1,2025-01-12T04:20:00+00:00,h1r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r1_1minute/hive1_rpi1_250112-042003Z.jpg,4608,2592,3555.059617613951,1426.2953831420843,4602.8162077250045,2602.082080274189,1231938.260485072,11943936.0,9.695239106623015,123,4.0,492.0
b4214145a9c5,2026-07-23T15:27:33.277118+00:00,1,2025-01-12T04:20:00+00:00,h1r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r2_1minute/hive1_rpi2_250112-042001Z.jpg,4608,2592,,,,,,,,37,1.0,37.0
b4214145a9c5,2026-07-23T15:27:33.277118+00:00,1,2025-01-12T04:20:00+00:00,h1r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r3_1minute/hive1_rpi3_250112-042001Z.jpg,4608,2592,-12.364316795752984,1341.6387409485724,1053.6822886040222,2596.856361620268,1338120.483555044,11943936.0,8.925904764769772,126,4.0,504.0
b4214145a9c5,2026-07-23T15:27:33.277118+00:00,1,2025-01-12T04:20:00+00:00,h1r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r4_1minute/hive1_rpi4_250112-042003Z.jpg,4608,2592,,,,,,,,2,1.0,2.0
d5b92e76a153,2026-07-23T15:45:02.988522+00:00,1,2024-12-24T03:00:00+00:00,h1r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r1_1minute/hive1_rpi1_241224-030003Z.jpg,4608,2592,3555.059617613951,1425.5759731859346,4605.429067051964,2595.8352094218867,1229204.5496649065,11943936.0,9.716801002124534,137,4.0,548.0
d5b92e76a153,2026-07-23T15:45:02.988522+00:00,1,2024-12-24T03:00:00+00:00,h1r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r2_1minute/hive1_rpi2_241224-030001Z.jpg,4608,2592,,,,,,,,37,1.0,37.0
d5b92e76a153,2026-07-23T15:45:02.988522+00:00,1,2024-12-24T03:00:00+00:00,h1r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r3_1minute/hive1_rpi3_241224-030001Z.jpg,4608,2592,1031.9084608793537,1428.9082424690446,2077.052191663447,2561.147284151812,1183352.5361637343,11943936.0,10.093303250712246,97,4.0,388.0
d5b92e76a153,2026-07-23T15:45:02.988522+00:00,1,2024-12-24T03:00:00+00:00,h1r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r4_1minute/hive1_rpi4_241224-030003Z.jpg,4608,2592,,,,,,,,3,1.0,3.0
f1edc123df7c,2026-08-04T15:18:06.125767+00:00,1,2024-11-29T04:00:00+00:00,h1r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r1_1minute/hive1_rpi1_241129-040001Z.jpg,4608,2592,3284.051319648094,1163.788563049854,4611.722873900291,2583.5187683284457,1884935.4082610193,11943936.0,6.336522698684456,184,4.0,736.0
f1edc123df7c,2026-08-04T15:18:06.125767+00:00,1,2024-11-29T04:00:00+00:00,h1r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r2_1minute/hive1_rpi2_241129-040001Z.jpg,4608,2592,,,,,,,,23,1.0,23.0
f1edc123df7c,2026-08-04T15:18:06.125767+00:00,1,2024-11-29T04:00:00+00:00,h1r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r3_1minute/hive1_rpi3_241129-040001Z.jpg,4608,2592,-0.4999999999997726,1178.990909090909,1605.8812316715541,2582.674193548387,2254850.4833635753,11943936.0,5.296996890979287,194,4.0,776.0
f1edc123df7c,2026-08-04T15:18:06.125767+00:00,1,2024-11-29T04:00:00+00:00,h1r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h1r4_1minute/hive1_rpi4_241129-040001Z.jpg,4608,2592,,,,,,,,27,1.0,27.0
81ae31e3dab6,2026-08-04T15:34:11.054459+00:00,2,2024-11-29T04:00:00+00:00,h2r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r1_1minute/hive2_rpi1_241129-040002Z.jpg,4608,2592,,,,,,,,255,1.0,255.0
81ae31e3dab6,2026-08-04T15:34:11.054459+00:00,2,2024-11-29T04:00:00+00:00,h2r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r2_1minute/hive2_rpi2_241129-040002Z.jpg,4608,2592,,,,,,,,3,1.0,3.0
